name,company,for_gender,rating,number_votes,main accords,top notes,middle notes,base notes,longevity,sillage,gender_vote,price value
Angels' Share,By Kilian,for women and men,4.31,682.0,"{'woody': 100.0, 'sweet': 92.6987, 'warm spicy': 89.4303, 'vanilla': 78.3058, 'cinnamon': 67.3313, 'amber': 52.084, 'powdery': 46.3568, 'lactonic': 44.7526, 'aromatic': 44.5877}",['Cognac'],"['Cinnamon', 'Tonka Bean', 'Oak']","['Praline', 'Vanilla', 'Sandalwood']","{'very weak': 21, 'weak': 17, 'moderate': 107, 'long lasting': 184, 'eternal': 78}","{'intimate': 40, 'moderate': 187, 'strong': 157, 'enormous': 79}","{'female': 40, 'more female': 39, 'unisex': 226, 'more male': 51, 'male': 20}","{'way overpriced': 64, 'overpriced': 143, 'ok': 98, 'good value': 27, 'great value': 11}"
My Way,Giorgio Armani,for women,3.5700000000000003,1471.0,"{'white floral': 100.0, 'citrus': 60.4322, 'tuberose': 59.0888, 'animalic': 46.7757}","['Orange Blossom', 'Bergamot']","['Tuberose', 'Indian Jasmine']","['White Musk', 'Madagascar Vanilla', 'Virginian Cedar']","{'very weak': 49, 'weak': 84, 'moderate': 200, 'long lasting': 216, 'eternal': 89}","{'intimate': 127, 'moderate': 322, 'strong': 251, 'enormous': 221}","{'female': 349, 'more female': 21, 'unisex': 4, 'more male': 0, 'male': 0}","{'way overpriced': 38, 'overpriced': 121, 'ok': 125, 'good value': 26, 'great value': 8}"
Libre Intense,Yves Saint Laurent,for women,4.02,858.0,"{'vanilla': 100.0, 'aromatic': 71.4216, 'sweet': 69.9134, 'white floral': 69.338, 'lavender': 69.1826, 'amber': 68.4051, 'citrus': 67.861, 'powdery': 48.7517, 'floral': 48.5651, 'fresh spicy': 47.8188}","['Lavender', 'Mandarin Orange', 'Bergamot']","['Lavender', 'Tunisian Orange Blossom', 'Jasmine Sambac', 'Orchid']","['Madagascar Vanilla', 'Tonka Bean', 'Ambergris', 'Vetiver']","{'very weak': 24, 'weak': 12, 'moderate': 103, 'long lasting': 212, 'eternal': 84}","{'intimate': 39, 'moderate': 155, 'strong': 237, 'enormous': 131}","{'female': 162, 'more female': 91, 'unisex': 70, 'more male': 8, 'male': 2}","{'way overpriced': 11, 'overpriced': 59, 'ok': 136, 'good value': 35, 'great value': 6}"
Dior Homme 2020,Christian Dior,for men,3.42,1402.0,"{'woody': 100.0, 'musky': 72.7229, 'amber': 53.4101, 'aromatic': 51.5617}","['Bergamot', 'Pink Pepper', 'elemi']","['Cashmere Wood', 'Atlas Cedar', 'Patchouli']","['Iso E Super', 'Haitian Vetiver', 'White Musk']","{'very weak': 125, 'weak': 83, 'moderate': 174, 'long lasting': 288, 'eternal': 77}","{'intimate': 214, 'moderate': 370, 'strong': 189, 'enormous': 151}","{'female': 3, 'more female': 1, 'unisex': 17, 'more male': 56, 'male': 199}","{'way overpriced': 31, 'overpriced': 59, 'ok': 134, 'good value': 33, 'great value': 3}"
Acqua di Giò Profondo,Giorgio Armani,for men,4.03,869.0,"{'aromatic': 100.0, 'marine': 93.2493, 'citrus': 79.7199, 'fresh spicy': 68.3193, 'woody': 67.7451, 'fresh': 62.493, 'mineral': 58.0112, 'musky': 45.126, 'salty': 44.902, 'patchouli': 44.4258}","['Sea Notes', 'Aquozone', 'Bergamot', 'Green Mandarin']","['Rosemary', 'Cypress', 'Lavender', 'Mastic or Lentisque']","['Mineral notes', 'Musk', 'Patchouli', 'Amber']","{'very weak': 59, 'weak': 66, 'moderate': 188, 'long lasting': 221, 'eternal': 35}","{'intimate': 115, 'moderate': 333, 'strong': 183, 'enormous': 106}","{'female': 3, 'more female': 0, 'unisex': 5, 'more male': 71, 'male': 151}","{'way overpriced': 32, 'overpriced': 84, 'ok': 80, 'good value': 21, 'great value': 4}"
Le Male Le Parfum,Jean Paul Gaultier,for men,4.26,690.0,"{'warm spicy': 100.0, 'vanilla': 72.2173, 'aromatic': 60.6231, 'lavender': 58.2483, 'amber': 58.2173, 'powdery': 56.8204, 'iris': 53.592, 'woody': 53.3437}",['Cardamom'],"['Lavender', 'iris']","['Vanilla', 'Oriental notes', 'Woodsy Notes']","{'very weak': 18, 'weak': 31, 'moderate': 129, 'long lasting': 252, 'eternal': 77}","{'intimate': 80, 'moderate': 262, 'strong': 175, 'enormous': 115}","{'female': 3, 'more female': 2, 'unisex': 39, 'more male': 132, 'male': 154}","{'way overpriced': 13, 'overpriced': 46, 'ok': 154, 'good value': 70, 'great value': 7}"
Beau De Jour Eau de Parfum,Tom Ford,for men,4.25,729.0,"{'aromatic': 100.0, 'fresh spicy': 94.7562, 'lavender': 68.1606, 'woody': 62.7869, 'patchouli': 56.0894, 'green': 56.0375, 'earthy': 54.0645, 'mossy': 49.4697, 'amber': 49.0803, 'herbal': 48.1717}","['Lavender Extract', 'Lavender']","['Rosemary', 'Oakmoss', 'Mint', 'Basil', 'Geranium']","['Patchouli', 'Amber']","{'very weak': 30, 'weak': 19, 'moderate': 88, 'long lasting': 203, 'eternal': 59}","{'intimate': 45, 'moderate': 190, 'strong': 194, 'enormous': 112}","{'female': 1, 'more female': 0, 'unisex': 15, 'more male': 25, 'male': 145}","{'way overpriced': 14, 'overpriced': 52, 'ok': 83, 'good value': 20, 'great value': 4}"
Angel Nova,Mugler,for women,3.54,814.0,"{'fruity': 100.0, 'rose': 65.8115, 'sweet': 61.6736, 'oud': 57.181, 'woody': 54.1609, 'tropical': 51.216, 'warm spicy': 49.3889, 'amber': 44.6169, 'fresh': 44.144}","['Raspberry', 'Litchi']",['Damask Rose'],"['Akigalawood', 'Benzoin']","{'very weak': 29, 'weak': 36, 'moderate': 112, 'long lasting': 153, 'eternal': 74}","{'intimate': 55, 'moderate': 167, 'strong': 203, 'enormous': 168}","{'female': 184, 'more female': 26, 'unisex': 9, 'more male': 4, 'male': 1}","{'way overpriced': 10, 'overpriced': 41, 'ok': 107, 'good value': 20, 'great value': 14}"
L'Interdit Eau de Parfum Intense,Givenchy,for women,4.08,596.0,"{'white floral': 100.0, 'vanilla': 83.8462, 'tuberose': 77.9933, 'patchouli': 60.6689, 'woody': 60.2007, 'aromatic': 57.0636, 'warm spicy': 54.9799, 'fresh spicy': 54.1137, 'earthy': 52.3813, 'animalic': 50.7191}",['Black Pepper'],"['Tuberose', 'Sesame', 'Orange Blossom']","['Madagascar Vanilla', 'Patchouli', 'Vetiver']","{'very weak': 14, 'weak': 19, 'moderate': 65, 'long lasting': 134, 'eternal': 49}","{'intimate': 36, 'moderate': 132, 'strong': 119, 'enormous': 122}","{'female': 122, 'more female': 24, 'unisex': 21, 'more male': 2, 'male': 1}","{'way overpriced': 10, 'overpriced': 26, 'ok': 77, 'good value': 21, 'great value': 6}"
L'Homme Idéal Extrême,Guerlain,for men,4.38,434.0,"{'fruity': 100.0, 'sweet': 92.2085, 'almond': 90.6687, 'tobacco': 69.4193, 'leather': 66.6476, 'nutty': 60.4884, 'warm spicy': 60.1804, 'cinnamon': 57.7167, 'woody': 52.3889, 'powdery': 49.1861}","['Almond', 'Pink Pepper', 'Bergamot']","['Plum', 'Cinnamon', 'Heliotrope']","['Tobacco', 'Leather', 'Patchouli', 'Cedar']","{'very weak': 19, 'weak': 33, 'moderate': 87, 'long lasting': 127, 'eternal': 45}","{'intimate': 42, 'moderate': 174, 'strong': 122, 'enormous': 87}","{'female': 6, 'more female': 1, 'unisex': 16, 'more male': 77, 'male': 85}","{'way overpriced': 5, 'overpriced': 25, 'ok': 76, 'good value': 57, 'great value': 6}"
