name,accords,longevity,sillage,gender,price-value,winter,spring,summer,fall,day,night,votes,rating,top notes,middle notes,base notes
Nature Millenaire Yves Rocher for women,"{'woody': 79.7803, 'amber': 48.5836, 'powdery': 47.3391, 'warm spicy': 46.0806, 'iris': 45.9688, 'musky': 45.3255, 'earthy': 45.3255}","{'very weak': 7, 'weak': 16, 'moderate': 55, 'long lasting': 76, 'eternal': 32}","{'intimate': 25, 'moderate': 80, 'strong': 87, 'enormous': 38}","{'female': 38, 'more female': 18, 'unisex': 26, 'more male': 0, 'male': 0}",,74.0864,15.6146,11.2957,100.0,71.0963,70.0997,847,4.35,,"['Benzoin', 'Woodsy Notes', 'Virginia Cedar', 'Iris', 'French labdanum', 'Vetyver', 'Musk']",
Tea for Two L'Artisan Parfumeur for women and men,"{'warm spicy': 74.7873, 'sweet': 72.005, 'cinnamon': 66.9251, 'tobacco': 57.898, 'green': 54.4686, 'honey': 50.3957, 'fresh': 47.0673, 'anis': 46.5737, 'soft spicy': 45.5749, 'floral': 45.5749}","{'very weak': 43, 'weak': 66, 'moderate': 307, 'long lasting': 172, 'eternal': 38}","{'intimate': 156, 'moderate': 416, 'strong': 126, 'enormous': 119}","{'female': 7, 'more female': 22, 'unisex': 199, 'more male': 36, 'male': 12}",,72.155,27.4818,14.4068,100.0,85.8354,49.7579,"2,641",4.11,"['Tea', 'Star Anise', 'Bergamot']","['Cinnamon', 'Spices', 'Ginger', 'Gingerbread']","['Tobacco', 'Honey', 'Leather', 'Vanilla']"
I Am Eisenberg for women,"{'fruity': 84.5919, 'sweet': 76.5142, 'fresh spicy': 69.7556, 'woody': 67.5143, 'floral': 63.4148, 'powdery': 59.0665, 'warm spicy': 57.9421, 'citrus': 55.4446, 'amber': 53.2232, 'aromatic': 53.2232}","{'intimate': 125, 'moderate': 307, 'strong': 97, 'enormous': 108}",,"{'female': 177, 'more female': 33, 'unisex': 32, 'more male': 3, 'male': 0}",,57.783,75.2358,42.9245,75.7075,100.0,36.7925,"1,397",3.95,"['Raspberry', 'Black Pepper', 'Bergamot', 'Pink Pepper']","['Magnolia', 'Violet', 'Rose', 'Jasmine']","['Sandalwood', 'Amber', 'Vetiver', 'Musk', 'Vanilla', 'Benzoin']"
Noix de Coco de Malaisie Yves Rocher for women,"{'coconut': 58.0, 'sweet': 54.5, 'lactonic': 51.0, 'tropical': 51.0, 'vanilla': 51.0}","{'intimate': 103, 'moderate': 222, 'strong': 82, 'enormous': 34}",,"{'female': 53, 'more female': 28, 'unisex': 11, 'more male': 1, 'male': 0}",,53.4615,34.8077,73.4615,38.6538,100.0,23.4615,"1,309",3.76,,['Coconut'],
Osmanthus The Different Company for women and men,"{'floral': 85.8822, 'fruity': 81.9403, 'citrus': 71.3219, 'green': 61.7757, 'fresh spicy': 53.329, 'rose': 52.6048, 'aromatic': 50.9154, 'musky': 49.2263, 'lactonic': 49.2263, 'soft spicy': 49.2263}","{'very weak': 38, 'weak': 38, 'moderate': 58, 'long lasting': 18, 'eternal': 6}","{'intimate': 84, 'moderate': 65, 'strong': 20, 'enormous': 34}","{'female': 30, 'more female': 14, 'unisex': 25, 'more male': 2, 'male': 3}",,13.75,86.25,69.375,40.625,100.0,17.5,534,3.73,"['Green Notes', 'Bergamot', 'Mandarin Orange']","['Osmanthus', 'Jasmine', 'Geranium']","['Musk', 'Rose']"
Hot Couture Collection No.1 Givenchy for women,"{'fruity': 85.9123, 'woody': 84.5728, 'sweet': 84.4626, 'fresh spicy': 69.5296, 'citrus': 67.0807, 'powdery': 64.039, 'amber': 62.2384, 'aromatic': 61.8211, 'floral': 61.6237, 'warm spicy': 61.6237}","{'intimate': 33, 'moderate': 69, 'strong': 114, 'enormous': 111}",,"{'female': 89, 'more female': 5, 'unisex': 5, 'more male': 0, 'male': 2}",,99.6587,41.9795,25.5973,75.7679,60.0683,100.0,"1,158",4.37,"['Raspberry', 'Bergamot', 'Orange']","['Pepper', 'Magnolia', 'Vetiver']","['Sandalwood', 'Amber', 'Musk']"
Back To Paris Eisenberg for women,"{'woody': 96.5675, 'powdery': 64.7549, 'soft spicy': 64.6098, 'vanilla': 64.2313, 'musky': 62.2031, 'violet': 57.9353, 'citrus': 57.2779, 'warm spicy': 56.8546, 'sweet': 53.4448, 'rose': 53.4448}","{'intimate': 60, 'moderate': 139, 'strong': 71, 'enormous': 58}",,"{'female': 85, 'more female': 20, 'unisex': 7, 'more male': 0, 'male': 1}",,71.3592,66.5049,34.466,100.0,96.1165,56.7961,711,3.9,"['Pink Pepper', 'Bergamot', 'Mandarin Orange', 'Black Currant', 'Rhubarb']","['Violet', 'Rose', 'Iris', 'Jasmine']","['Sandalwood', 'Vanilla', 'Musk', 'Patchouli', 'Tonka Bean', 'Cedar']"
Hot Couture Eau de Toilette Givenchy for women,"{'fruity': 79.7546, 'sweet': 49.6216, 'warm spicy': 47.9115, 'rose': 46.4715, 'citrus': 45.4941, 'amber': 44.7677, 'aromatic': 44.7677}","{'intimate': 72, 'moderate': 199, 'strong': 240, 'enormous': 123}",,"{'female': 169, 'more female': 19, 'unisex': 7, 'more male': 0, 'male': 0}",,70.4036,78.4753,59.8655,82.7354,100.0,69.9552,"1,651",4.27,"['Bergamot', 'Amalfi Lemon']","['Raspberry', 'Spices', 'Big Strawberry', 'Magnolia', 'Rose', 'Tuberose']","['Vetiver', 'Amber', 'Musk']"
Rouge Hermes Hermès for women,"{'woody': 75.8601, 'powdery': 69.2492, 'rose': 66.8989, 'warm spicy': 64.039, 'yellow floral': 57.2078, 'iris': 54.7767, 'amber': 54.0591, 'aromatic': 50.5393, 'sweet': 50.0066, 'floral': 50.0066}","{'very weak': 15, 'weak': 24, 'moderate': 50, 'long lasting': 100, 'eternal': 82}","{'intimate': 31, 'moderate': 106, 'strong': 138, 'enormous': 112}","{'female': 42, 'more female': 26, 'unisex': 14, 'more male': 0, 'male': 2}",,98.9744,32.8205,20.0,100.0,65.1282,96.9231,888,4.05,"['Rose', 'Ylang-Ylang', 'Iris']","['Sandalwood', 'Amber', 'Vanilla', 'Cedar']","['Spices', 'Myrtle']"
Odeur 71 Comme des Garcons for women and men,"{'aromatic': 84.4508, 'woody': 76.0501, 'metallic': 67.553, 'fresh spicy': 57.63, 'mineral': 57.63}","{'very weak': 18, 'weak': 23, 'moderate': 81, 'long lasting': 46, 'eternal': 8}","{'intimate': 40, 'moderate': 108, 'strong': 41, 'enormous': 23}","{'female': 0, 'more female': 2, 'unisex': 88, 'more male': 10, 'male': 5}",,48.4848,78.7879,63.6364,72.7273,100.0,31.8182,507,3.91,,"['Ink', 'Metallic notes', 'West Indian Bay', 'Hiacynth', 'Bamboo', 'Incense', 'Fir Resin', 'Oakmoss', 'Woody Notes', 'White Pepper']",
