Title,Rating,Number of votes,Number of reviews,Accords,Winter,Spring,Summer,Fall,Day,Night,Longevity,Sillage,Gender,Price value
Orange Tonic Azzaro perfume - a fragrance for women,3.45,88,14,"citrus, fresh spicy, green, sweet, aromatic, white floral, fruity",12.1951,31.7073,60.9756,24.3902,100.0,7.31707,moderate,moderate,female,overpriced
Amarige Givenchy perfume - a fragrance for women 1991,3.89,"8,258",731,"white floral, sweet, yellow floral, woody, powdery, floral, fruity, tuberose, animalic, green",90.264,76.1276,38.5589,100.0,98.1848,95.7096,long lasting,strong,female,ok
Organza Givenchy perfume - a fragrance for women 1996,3.95,"10,772",603,"white floral, fresh spicy, woody, vanilla, tuberose, animalic, powdery",92.3723,36.0392,24.7376,96.0112,64.5906,100.0,long lasting,strong,female,ok
J&amp;#039;adore Eau de Toilette 2002 Dior perfume - a fragrance for women 2002,3.74,370,27,"citrus, white floral, floral, powdery, fresh, fruity, sweet, musky, fresh spicy, rose",17.2932,79.6992,59.3985,34.5865,100.0,32.3308,moderate,moderate,female,ok
Arpège Lanvin perfume - a fragrance for women 1927,3.97,"4,218",658,"white floral, woody, aldehydic, fresh, powdery, aromatic, amber, yellow floral, floral, warm spicy",94.2699,53.9741,26.2477,97.1349,75.7856,100.0,long lasting,moderate,female,good value
Equipage Hermès cologne - a fragrance for men 1970,4.29,"1,316",145,"woody, aromatic, warm spicy, earthy, floral, fresh spicy, mossy, citrus, balsamic, aldehydic",64.1604,62.6566,29.5739,100.0,97.2431,53.3835,moderate,moderate,male,ok
Rouge Hermes Eau Delicate Hermès perfume - a fragrance for women 2002,3.59,292,18,"amber, woody, aldehydic, rose, yellow floral, fresh, sweet, floral, musky, soapy",71.6418,50.7463,34.3284,83.5821,100.0,83.5821,long lasting,moderate,female,overpriced
Eau des Merveilles Hermès perfume - a fragrance for women 2004,4.06,"7,372",628,"woody, fresh spicy, aromatic, citrus, amber, conifer, sweet, fresh, earthy, balsamic",48.6893,62.8706,60.8939,75.5909,100.0,35.2385,moderate,moderate,unisex,ok
Parfum des Merveilles Hermès perfume - a fragrance for women 2005,4.38,130,12,"woody, amber, balsamic, earthy, patchouli, mossy, warm spicy",71.4286,50.0,45.2381,100.0,78.5714,88.0952,long lasting,moderate,unisex,ok
Chanel N°19 Chanel perfume - a fragrance for women 1970,4.10,"5,149",378,"green, earthy, woody, iris, powdery, aromatic, floral, mossy, white floral, fresh spicy",30.806,93.306,55.806,52.1858,100.0,31.2158,moderate,moderate,unisex,ok
